location,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration
unit,°C,mm,%,%,%,%,min
level,2 m elevation corrected,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basileia Temperature [2 m elevation corrected],Basileia Precipitation Total,Basileia Cloud Cover Total,Basileia Cloud Cover High [high cld lay],Basileia Cloud Cover Medium [mid cld lay],Basileia Cloud Cover Low [low cld lay],Basileia Sunshine Duration
20200104T0100,7.690245,0.3,100.0,0.0,66.0,100.0,0.0
20200104T0200,7.690245,0.1,100.0,55.0,61.0,100.0,0.0
20200104T0300,7.4902453,0.1,100.0,64.0,61.0,100.0,0.0
20200104T0400,7.250245,0.2,100.0,8.0,61.0,100.0,0.0
20200104T0500,6.940245,0.3,100.0,41.0,57.0,100.0,0.0
20200104T0600,6.7802453,0.2,100.0,61.0,43.0,100.0,0.0
20200104T0700,6.4702454,0.2,99.0,81.0,39.0,99.0,0.0
20200104T0800,6.360245,0.2,94.0,100.0,31.0,94.0,2.1893935
20200104T0900,6.670245,0.2,85.0,100.0,21.0,85.0,8.48485
20200104T1000,7.0302453,0.2,86.0,89.0,26.0,86.0,7.878789
20200104T1100,7.040245,0.0,67.0,6.0,21.0,67.0,19.393942
20200104T1200,7.290245,0.0,55.0,0.0,11.0,55.0,26.666664
20200104T1300,7.360245,0.0,54.0,0.0,6.0,54.0,27.272726
20200104T1400,7.130245,0.0,33.0,7.0,22.0,33.0,39.999996
20200104T1500,6.480245,0.0,54.0,19.0,54.0,10.0,27.272726
20200104T1600,5.8102455,0.0,71.0,75.0,71.0,4.0,15.027609
20200104T1700,4.7002454,0.0,10.0,5.0,10.0,6.0,0.0
20200104T1800,4.2602453,0.0,38.0,0.0,38.0,11.0,0.0
20200104T1900,4.3702455,0.0,45.0,0.0,45.0,21.0,0.0
20200104T2000,4.2002454,0.0,52.0,0.0,0.0,52.0,0.0
20200104T2100,3.9502454,0.0,77.0,0.0,6.0,77.0,0.0
20200104T2200,2.7502456,0.0,72.0,0.0,42.0,72.0,0.0
20200104T2300,2.6402454,0.0,82.0,0.0,82.0,78.0,0.0
20200105T0000,2.5002456,0.0,90.0,0.0,90.0,85.0,0.0
20200105T0100,2.2602453,0.0,93.0,0.0,93.0,86.0,0.0
20200105T0200,1.8002454,0.0,85.0,0.0,2.0,85.0,0.0
20200105T0300,1.3002454,0.0,82.0,0.0,5.0,82.0,0.0
20200105T0400,0.77024543,0.0,84.0,0.0,3.0,84.0,0.0
20200105T0500,0.080245405,0.0,82.0,0.0,2.0,82.0,0.0
20200105T0600,-0.3197546,0.0,81.0,0.0,5.0,81.0,0.0
20200105T0700,-1.1397547,0.0,61.0,0.0,1.0,61.0,0.0
20200105T0800,-0.5497546,0.0,59.0,0.0,5.0,59.0,17.555553
20200105T0900,0.9402454,0.0,91.0,0.0,1.0,91.0,4.8484864
20200105T1000,2.8202453,0.0,37.0,0.0,1.0,37.0,37.57576
20200105T1100,4.9102454,0.0,23.0,0.0,0.0,23.0,46.060608
20200105T1200,6.1402454,0.0,36.0,0.0,0.0,36.0,38.181816
20200105T1300,6.920245,0.0,29.0,0.0,0.0,29.0,42.424244
20200105T1400,7.150245,0.0,24.0,0.0,0.0,24.0,45.454544
20200105T1500,6.520245,0.0,32.0,0.0,0.0,32.0,40.606064
20200105T1600,3.9502454,0.0,20.0,0.0,2.0,20.0,43.21061
20200105T1700,2.1002455,0.0,22.0,0.0,1.0,22.0,0.0
20200105T1800,1.1102455,0.0,15.0,0.0,0.0,15.0,0.0
20200105T1900,0.6702454,0.0,5.0,0.0,0.0,5.0,0.0
20200105T2000,-0.03975457,0.0,3.0,0.0,0.0,3.0,0.0
20200105T2100,-0.5697546,0.0,6.0,0.0,0.0,6.0,0.0
20200105T2200,-0.62975454,0.0,8.0,2.0,0.0,8.0,0.0
20200105T2300,-0.85975456,0.0,6.0,7.0,0.0,6.0,0.0
20200106T0000,-0.87975454,0.0,46.0,1.0,0.0,46.0,0.0
20200106T0100,-1.2497545,0.0,52.0,0.0,0.0,52.0,0.0
20200106T0200,-1.1597546,0.0,48.0,0.0,0.0,48.0,0.0
20200106T0300,-1.2997546,0.0,35.0,0.0,0.0,35.0,0.0
20200106T0400,-1.4997545,0.0,33.0,2.0,0.0,33.0,0.0
20200106T0500,-1.1597546,0.0,36.0,10.0,0.0,36.0,0.0
